method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome_code,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh,family,matrix,display_label,family_display,log10_p,nominal_positive,nominal_positive_rank,label_point
survey_weighted,odds_ratio,0.853484749463974,0.6757941591835053,1.077896586806372,0.11430362373927104,30,0.17595636039620705,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Toluene_ln_S,VOC_serum.rds,CHD,Coronary heart disease,natural_log_transformed,3091,98,2993,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,0.611714677235582,Volatile Organic Compounds (VOC),serum,Toluene_ln_S,Volatile Organic Compounds (VOC),0.7545950298515239,FALSE,,FALSE
survey_weighted,odds_ratio,0.822220849790437,0.6143456426341095,1.1004344768059937,0.14270932663135272,30,0.18034671441849728,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X3PBA_ln_U,pesticides_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2182,80,2102,30,4,2013-2014|2015-2016,WTSB2YR|WTSC2YR,ok,,0.611714677235582,Pesticides,urine,3PBA_ln_U,Pesticides,0.7438917653107648,FALSE,,FALSE
survey_weighted,odds_ratio,1.3262192202008796,0.8680979926449377,2.026104696626827,0.20750555449557695,30,0.1837753698104379,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Sn_ln_U,HM_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2225,74,2151,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.611714677235582,Heavy Metals,urine,Sn_ln_U,Metals and metalloids,0.7357126946484412,FALSE,,FALSE
survey_weighted,odds_ratio,0.09953138400742824,0.00309356147485613,3.202294986846784,1.6996507947915214,30,0.1847460434604107,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Se_ln_S,HM_serum.rds,CHD,Coronary heart disease,natural_log_transformed,3249,101,3148,30,4,2013-2014|2015-2016,WTSH2YR,ok,,0.611714677235582,Heavy Metals,serum,Se_ln_S,Metals and metalloids,0.7334248537272401,FALSE,,FALSE
survey_weighted,odds_ratio,1.398899494621021,0.8303654953636352,2.356696908743745,0.24470444190328855,15,0.1902958571271804,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,o_TLD_ln_U,AA_urine.rds,CHD,Coronary heart disease,natural_log_transformed,1075,33,1042,15,2,2013-2014,WTSA2YR,ok,,0.6163931024336932,Aromatic Amines,urine,o_TLD_ln_U,Aromatic Amines,0.7205706665022062,FALSE,,FALSE
survey_weighted,odds_ratio,1.9529843450385256,0.6719151354375418,5.676532125566479,0.5005897846453551,15,0.20110223575792777,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,CYHA_Cys_binary_U,VOC_urine.rds,CHD,Coronary heart disease,binary_above_detection_threshold,1048,36,1012,15,2,2015-2016,WTSA2YR,ok,,0.6375368750623667,Volatile Organic Compounds (VOC),urine,CYHA_Cys_binary_U,Volatile Organic Compounds (VOC),0.6965831010992628,FALSE,,FALSE
survey_weighted,odds_ratio,0.808067368157003,0.571215317955547,1.14312913354155,0.16984962148036478,30,0.2192759583057933,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X34_MHA_ln_U,VOC_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2211,72,2139,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.6806691205742333,Volatile Organic Compounds (VOC),urine,34_MHA_ln_U,Volatile Organic Compounds (VOC),0.6590089823101675,FALSE,,FALSE
survey_weighted,odds_ratio,1.560587271211476,0.7339436727937849,3.318282752948483,0.3693851901944634,30,0.2376714486998336,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,BCPP_binary_U,BFR_urine.rds,CHD,Coronary heart disease,binary_above_detection_threshold,1944,76,1868,30,4,2013-2014|2015-2016,WTSSBI2Y|WTSSCH2Y,ok,,0.7222572575253174,Brominated Flame Retardants,urine,BCPP_binary_U,Brominated Flame Retardants,0.6240229866221162,FALSE,,FALSE
survey_weighted,odds_ratio,1.3357508511721443,0.8101985443185715,2.202213702948281,0.2448103887638354,30,0.24628654783716855,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Cd_ln_S,HM_serum.rds,CHD,Coronary heart disease,natural_log_transformed,3250,101,3149,30,4,2013-2014|2015-2016,WTSH2YR,ok,,0.7222572575253174,Heavy Metals,serum,Cd_ln_S,Metals and metalloids,0.6085593086628653,FALSE,,FALSE
survey_weighted,odds_ratio,0.4702083301151787,0.11840763727313028,1.8672433535659885,0.6469975470762405,15,0.26171084839106845,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PFHxA_binary_U,PFC_urine.rds,CHD,Coronary heart disease,binary_above_detection_threshold,1010,30,980,15,2,2013-2014,WTSSBH2Y,ok,,0.7222572575253174,Polyfluoroalkyl Substances (PFAS),urine,PFHxA_binary_U,Polyfluoroalkyl Substances (PFAS),0.5821782746901564,FALSE,,FALSE
survey_weighted,odds_ratio,1.1443879770735177,0.8985116803949585,1.4575479324817984,0.11843941217270386,30,0.26382951609583843,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MEP_ln_U,Phthalates_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2139,70,2069,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.7222572575253174,Phthalates,urine,MEP_ln_U,Phthalates,0.5786766190986969,FALSE,,FALSE
