"Pollutant","Modifier","Outcome","Exposure_Type","Exposure_Scale","n","N_Healthy","N_Risk","Beta_Interaction","Interaction_Low","Interaction_High","P_Interaction","P_FDR_BH_within_modifier","P_FDR_BH_all_tests","Toxicant_Beta_Healthy","Toxicant_Beta_Healthy_Low","Toxicant_Beta_Healthy_High","Toxicant_Beta_Risk","Toxicant_Beta_Risk_Low","Toxicant_Beta_Risk_High","Interaction_Direction"
"BuP_binary_U","Sleep","LE8_no_sleep","Binary","Binary 0/1",2214,1217,997,-2.00533565710977,-5.95043441750013,1.93976310328059,0.287068624654913,0.96782499090822,0.769894580565299,1.72484996029923,-0.874581734695211,4.32428165529368,-0.280485696810539,-3.79835781255506,3.23738641893398,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"CMAC_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2229,1227,1002,-0.875797338084048,-2.61228778096813,0.86069310480003,0.290648121857705,0.96782499090822,0.769894580565299,-1.75264045552554,-3.11844788477282,-0.38683302627826,-2.62843779360959,-4.02809725694483,-1.22877833027435,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"Se_ln_S","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",3437,1886,1551,0.617078305557884,-0.626322656955788,1.86047926807155,0.298042272939469,0.96782499090822,0.782525086660456,-0.892021816402245,-1.61109157930068,-0.172952053503812,-0.274943510844361,-1.40162845373139,0.851741432042663,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"Hg_binary_U","Sleep","LE8_no_sleep","Binary","Binary 0/1",2273,1254,1019,-1.82620020132442,-5.57437140518753,1.92197100253869,0.306515499590598,0.96782499090822,0.785123573184402,2.03088471685862,-0.149924506402011,4.21169394011925,0.204684515534195,-2.38022677728975,2.78959580835814,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"X2_MHA_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2124,1172,952,-0.7831861627336,-2.41004218466324,0.843669859196037,0.31204866504762,0.96782499090822,0.785123573184402,-0.272378124353572,-1.67376082085472,1.12900457214758,-1.05556428708717,-2.33942665671459,0.228298082540251,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"Cd_ln_S","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",3437,1886,1551,-0.659432515296842,-2.05806357035209,0.739198539758403,0.321669606251241,0.96782499090822,0.785315449316656,-2.73759093416872,-3.89987539858432,-1.57530646975312,-3.39702344946556,-4.52192951590536,-2.27211738302576,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"BDCM_binary_S","Sleep","LE8_no_sleep","Binary","Binary 0/1",3341,1849,1492,1.4099193454729,-1.58811499979795,4.40795369074375,0.322850429851652,0.96782499090822,0.785315449316656,-0.63935946215539,-3.28619858802133,2.00747966371055,0.770559883317509,-1.64181951552069,3.18293928215571,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"n_PFOS_ln_S","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",1045,583,462,1.27077309544838,-1.26872356668737,3.81026975758413,0.326704746251521,0.96782499090822,0.785315449316656,0.441869453682282,-1.60127978361374,2.48501869097831,1.71264254913066,0.578532521923745,2.84675257633758,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"MECPP_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2212,1217,995,-0.629494474370706,-1.99202602315066,0.733037074409249,0.331062949896648,0.96782499090822,0.785315449316656,0.0506244640571293,-1.34343128505807,1.44468021317233,-0.578870010313577,-1.61634515600662,0.458605135379469,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"DMA_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2270,1254,1016,0.622095870652335,-0.803537704172404,2.04772944547707,0.357474080532237,0.96782499090822,0.807636664891682,2.94519005520078,1.64396056442631,4.24641954597525,3.56728592585312,2.5728381686576,4.56173368304863,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"IHg_binary_S","Sleep","LE8_no_sleep","Binary","Binary 0/1",3437,1886,1551,-1.40292563780926,-4.62809604422086,1.82224476860234,0.358928816481596,0.96782499090822,0.807636664891682,1.79820855501782,-0.553605863606617,4.15002297364226,0.395282917208561,-1.74696161476193,2.53752744917905,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"MnBP_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2212,1217,995,-0.58193267485507,-1.92324077838651,0.75937542867637,0.360138994761847,0.96782499090822,0.807636664891682,-0.137386222244573,-1.20332243671254,0.92854999222339,-0.719318897099643,-1.89843302460397,0.459795230404683,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"o_ANS_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",1056,584,472,0.631992794729747,-0.734414783268702,1.9984003727282,0.364657850288409,0.96782499090822,0.811318118831713,0.856052276419923,-0.662840832736696,2.37494538557654,1.48804507114967,0.190842765280473,2.78524737701887,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"X34_MHA_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2248,1240,1008,-0.713572196260941,-2.42466948148101,0.997525088959131,0.378373807150596,0.96782499090822,0.833665027159075,-1.11625859606677,-2.64920891649148,0.416691724357935,-1.82983079232771,-3.21494299663259,-0.444718588022828,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"CYHA_Cys_binary_U","Sleep","LE8_no_sleep","Binary","Binary 0/1",1074,598,476,2.95628160600056,-3.65463420270672,9.56719741470784,0.380779831248685,0.96782499090822,0.83388931087171,-12.69335876404,-16.8427552262947,-8.54396230178533,-9.73707715803945,-13.7151773297118,-5.75897698636714,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"Furan_binary_S","Sleep","LE8_no_sleep","Binary","Binary 0/1",3375,1859,1516,1.57345612700871,-2.35168782943925,5.49860008345666,0.396485982821459,0.96782499090822,0.844182840117226,-11.4053824544079,-14.9108509430709,-7.89991396574498,-9.83192632739923,-12.5480145880699,-7.11583806672856,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"As_III_binary_U","Sleep","LE8_no_sleep","Binary","Binary 0/1",2272,1255,1017,-1.67540207000284,-5.92609614393009,2.57529200392441,0.404188619226752,0.96782499090822,0.844182840117226,3.73029901949742,0.835485542939057,6.62511249605579,2.05489694949458,-0.296418015260905,4.40621191425007,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
