exposure,module_rds,outcome,outcome_label,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,covariates_used,status,error,method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,p_fdr_bh
IPM3_Cys_ln_U,VOC_urine.rds,Hypertension,Hypertension,natural_log_transformed,1051,400,651,15,2,2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9646975430697925,0.7267859806270149,1.2804888569837418,0.1328591515429502,15,0.7904493187621653,0.9924688003756363
Sm_PFOS_ln_S,PFC_serum.rds,Hypertension,Hypertension,natural_log_transformed,997,399,598,15,2,2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.0436275352982725,0.7428707386730898,1.466147979362054,0.15948577395694616,15,0.792536860891692,0.9924688003756363
X23_OH_PH_ln_U,PAH_urine.rds,Hypertension,Hypertension,natural_log_transformed,2228,841,1387,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9779597793094229,0.8237470418625776,1.1610425061853982,0.08402652078131692,30,0.7926428674140988,0.9924688003756363
GLYP_ln_U,GYLP_urine.rds,Hypertension,Hypertension,natural_log_transformed,1940,765,1175,30,4,2013-2014|2015-2016,WTSSCH2Y|WTSSGL2Y,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9784471279912954,0.8203254309552616,1.1670475474100306,0.08630857384008436,30,0.8024155833533216,0.9939022525745106
Mn_binary_U,HM_urine.rds,Hypertension,Hypertension,binary_above_detection_threshold,2234,843,1391,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9586619617559058,0.6743620785607896,1.362817966987503,0.17224506264859987,30,0.808050149657878,0.9939022525745106
PFDA_ln_S,PFC_serum.rds,Hypertension,Hypertension,natural_log_transformed,2074,836,1238,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.019580147649564,0.8578839520711954,1.211753262164806,0.08455158111315812,30,0.8201623198025766,0.9939022525745106
X4_ABP_ln_U,AA_urine.rds,Hypertension,Hypertension,natural_log_transformed,1120,415,705,15,2,2013-2014,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9857112488106451,0.8627054968394579,1.1262553323137723,0.06253494630181644,15,0.8210917336431258,0.9939022525745106
CEMA_CYM_ln_U,VOC_urine.rds,Hypertension,Hypertension,natural_log_transformed,2191,828,1363,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9893758338046379,0.8960990298652753,1.0923620134526768,0.048486842104528395,30,0.8271401296593243,0.9939022525745106
BP3_ln_U,PCCP_urine.rds,Hypertension,Hypertension,natural_log_transformed,2145,869,1276,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9907540448035262,0.9045688254207843,1.08515079196758,0.044562085817486136,30,0.8362864763084809,0.9943201584699202
HIBP_ln_U,Phthalates_urine.rds,Hypertension,Hypertension,natural_log_transformed,2044,831,1213,30,4,2013-2014|2015-2016,WTSB2YR|WTSSBH2Y,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9831298310161587,0.8077508379824371,1.1965871394798557,0.09621025098833903,30,0.8608203681658165,0.9943201584699202
