exposure,outcome,estimate_same_sample_unweighted,estimate_survey_weighted,conf_low_same_sample_unweighted,conf_low_survey_weighted,conf_high_same_sample_unweighted,conf_high_survey_weighted,p_value_same_sample_unweighted,p_value_survey_weighted,p_fdr_bh_same_sample_unweighted,p_fdr_bh_survey_weighted,direction_consistent
BP3_ln_U,CVD,1.0103183910586517,0.9961422211378295,0.9329969168189575,0.869175644659873,1.094047829002003,1.14165569506002,0.8004966263535677,0.9542150851480982,0.9206387317938559,0.9850263642790837,FALSE
MINP_binary_U,CVD,1.049511841098395,1.092668007074747,0.7205125018541756,0.7523482669550162,1.5287383657760183,1.5869291206277016,0.8011769265572679,0.6311998895839799,0.9206387317938559,0.9250800860952663,TRUE
MEP_ln_U,CVD,0.985487844716724,0.9782107419540791,0.8784339377643724,0.8066599496644695,1.105588309299727,1.1862449053933708,0.8032418465315522,0.8170891765636701,0.9206387317938559,0.9568297563098194,TRUE
o_Xylene_binary_S,CVD,1.04069840590963,1.0474274134017831,0.7315618952186892,0.6427252023891946,1.4804669012169955,1.7069568491593266,0.8244472662026255,0.847661260623464,0.9375784110795508,0.9568297563098194,TRUE
X4FPBA_binary_U,CVD,1.0558600892665562,1.0499855135576344,0.6416904186915582,0.560907571673349,1.7373495000583004,1.965510245104919,0.8306063776006758,0.8748272341842988,0.9375784110795508,0.9727556559213472,TRUE
Total_As_ln_U,CVD,1.0180643176674566,0.999352440557843,0.8553704389493696,0.8223526071037407,1.2117030326425078,1.2144489989109128,0.8402919535252914,0.9946302373559355,0.9413797073328453,0.9946302373559355,FALSE
Pb_ln_U,CVD,0.9760762147296642,0.9786944981303053,0.7509929231921666,0.7128213071499725,1.268620179417061,1.3437349740571192,0.8563328046369969,0.8905757702006096,0.9456870095569917,0.9829317759991913,TRUE
PrP_ln_U,CVD,0.9927163837064534,0.9538104760654172,0.9156657189029577,0.8401187665339149,1.0762506427126168,1.082887873110512,0.8592420771031886,0.4526336427815637,0.9456870095569917,0.8665324003372114,TRUE
Cs_ln_U,CVD,1.0316418385631663,1.0510635154184673,0.7114660244757975,0.7104206481575789,1.4959040157372891,1.5550427993736813,0.8694834117327341,0.7968971050973912,0.9456870095569917,0.9568297563098194,TRUE
DCVDMPCA_binary_U,CVD,1.0287394524021738,1.0831869773355656,0.7239252555452074,0.7038786202467721,1.4618979691925331,1.6668982323372956,0.8744284599756088,0.7076597199912267,0.9456870095569917,0.9548280976492394,TRUE
o_ANS_ln_U,CVD,0.9784645316241289,0.9114363227195514,0.7445792255685434,0.6474104728635016,1.2858172868244924,1.283136750473427,0.8758711900594958,0.5719225776013814,0.9456870095569917,0.8845138616998544,TRUE
AsB_binary_U,CVD,1.022508669119389,1.021845846566518,0.7195838082996512,0.6089860522376808,1.4529565095340833,1.7146023793295608,0.9011785295351048,0.9326108620718174,0.9647419852878858,0.9850263642790837,TRUE
MnBP_ln_U,CVD,1.0121952993963954,1.0469780120420809,0.8268901389591544,0.8600588192874058,1.2390271401830892,1.2745209201014924,0.9064689794651276,0.6370028848996075,0.9647419852878858,0.9250800860952663,TRUE
X24_DCP_ln_U,CVD,0.9948883529300687,0.9422693301241153,0.8779631693772804,0.8171877907541057,1.1273853725526437,1.086496274832026,0.9359683813584099,0.4005879958780185,0.9864249567206234,0.8665324003372114,TRUE
NPMA_ln_U,CVD,0.9963938532451514,0.9511462155663286,0.8718545866886469,0.8048052922693943,1.1387228167892465,1.1240968866334486,0.9577072360094081,0.5449648658496938,0.9864249567206234,0.8845138616998544,TRUE
Ethylbenzene_binary_S,CVD,0.9895112314216781,0.9099095140860333,0.6660664624397891,0.5225457720459473,1.4700221859588933,1.5844264141352213,0.958360696986594,0.7305396183356596,0.9864249567206234,0.9548280976492394,TRUE
n_PFOS_ln_S,CVD,1.0075378869929061,1.1467061718290565,0.7551338440466918,0.6245243137953302,1.3443081669947798,2.1054985618090467,0.9592931385583023,0.6380308965916195,0.9864249567206234,0.9250800860952663,TRUE
BPF_binary_U,CVD,1.007799190413135,1.0176760917997425,0.7192217961679273,0.7189620471131479,1.4121641107220133,1.4404997203667531,0.9639989033968519,0.9186601662036242,0.9864249567206234,0.9850263642790837,TRUE
Tl_ln_U,CVD,1.0064368266945338,1.0718467051483047,0.745584734351798,0.6743827780183139,1.3585512678281682,1.703565685222878,0.9665640515517516,0.7618533363526028,0.9864249567206234,0.9568297563098194,TRUE
MMA_binary_U,CVD,0.9946925505087724,1.100611011554195,0.69749850324423035,0.6940638588426182,1.418516692775184,1.7452927181287297,0.9765566433181198,0.6741287400664893,0.9898431282612234,0.9475960591500651,FALSE
DMDTP_binary_U,CVD,0.9971437289812615,1.3211177369558362,0.6150058692410623,0.6944108930117487,1.6167254102365711,2.513428421794329,0.9907441746452081,0.3706819553718823,0.9947952454688085,0.8595379610852535,FALSE
Mo_ln_U,CVD,0.9991304056245808,0.8971438014682106,0.7693103161559259,0.6673900283750509,1.2976058509544397,1.2059919481753534,0.9947952454688085,0.4595272498168419,0.9947952454688085,0.8665324003372114,TRUE
X25_DMF_binary_S,LE8,-10.23099339332021,-10.723402518073332,-11.374496836041759,-12.637882553701747,-9.08748995059866,-8.808922482444917,3.835571828569499e-66,1.8273225711206835e-12,5.7150020245685536e-64,1.0462090017400061e-10,TRUE
Furan_binary_S,LE8,-9.094721094702756,-10.208785143682334,-10.340109597514362,-12.218654863097276,-7.849332591891149,-8.198915424267392,2.96580864089953e-45,1.9349605970135592e-11,2.20952743747015e-43,7.207728223875508e-10,TRUE
CEMA_CYM_ln_U,LE8,-1.733558241616414,-1.6375108998198673,-2.0085106894418256,-1.9315580885548131,-1.4586057937910022,-1.3434637110849215,4.2194157183875835e-34,2.1064610773288714e-12,2.0956431401324997e-32,1.0462090017400061e-10,TRUE
EO_ln_S,LE8,-3.345349380743631,-3.4759044849579053,-3.877607611350162,-4.010486653141024,-2.8130911501371,-2.9413223167747864,6.900147863612869e-34,4.2646114976115594e-14,2.570305079195794e-32,6.3542711314412235e-12,TRUE
Cd_ln_S,LE8,-3.3720071427405625,-3.6436623848300154,-3.934490706710549,-4.534497982311791,-2.809523578770576,-2.7528267873482397,2.4494515221565063e-31,2.530229683204117e-9,7.299365536026389e-30,3.770042227974134e-8,TRUE
Benzene_binary_S,LE8,-5.488505490612833,-5.299531081401788,-6.439784833318782,-6.993310306928016,-4.537226147906884,-3.6057518558755612,3.683852003478177e-29,4.713806140764096e-7,9.14823247530414e-28,3.344557690351668e-6,TRUE
Toluene_ln_S,LE8,-2.535159306604869,-2.9211640078997863,-2.976389551532462,-3.5844968777314605,-2.0939290616772763,-2.257831138068112,6.1128450728925e-29,5.093247366875136e-10,1.3011627369442606e-27,1.2648230961073255e-8,TRUE
Ethylbenzene_binary_S,LE8,-5.711236532444502,-5.714518886465742,-6.709563698000033,-7.818071832650384,-4.712909366888971,-3.6109659402810994,1.0480754910840911e-28,4.9594241597877055e-6,1.9520406021441197e-27,2.7368674066976596e-5,TRUE
CYHA_Cys_binary_U,LE8,-10.60306179463755,-10.12703853579592,-12.537141298633529,-12.385025978733205,-8.668982290641573,-7.869051092858635,8.535401143161636e-26,9.008588146698501e-8,1.4130830781456488e-24,7.895762552106334e-7,TRUE
X2_FL_ln_U,LE8,-2.9569749748208274,-3.1233300903017467,-3.5112566396747966,-3.7892732782929666,-2.402693309966858,-2.457386902310527,4.312705924552834e-25,1.2354853883980897e-10,6.425931827583723e-24,3.6817464574263073e-9,TRUE
MB3_Cys_ln_U,LE8,-2.599104913933625,-2.4390781609384025,-3.1229719723091276,-3.0180217724498855,-2.075237855558122,-1.8601345494269195,5.7204786672439285e-22,1.3419800730524897e-9,7.211090324574064e-21,2.856500441211728e-8,TRUE
X2_NP_ln_U,LE8,-3.020669241117193,-3.4012653865479225,-3.6296658858045214,-4.328368320119855,-2.411672596429865,-2.4741624529759902,5.807589523146898e-22,2.3696344699316102e-8,7.211090324574064e-21,2.7159656616908457e-7,TRUE
